COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
LIT 132N,TRANSLATION STUDIES 1,1,2,,TUTORIAL,Sat (05:00 PM) - (08:00 PM) AF103TC             ,,
LIT 2,LITERATURES OF THE WORLD,2,1,,DISSOLVED,TTh (10:30 AM) - (12:00 PM) AF102               ,,
LIT 2,LITERATURES OF THE WORLD,4,0,,DISSOLVED,MWF (10:30 AM) - (11:30 AM) 2B06                ,,
LIT 2,LITERATURES OF THE WORLD,6,0,,DISSOLVED,MWF (02:30 PM) - (03:30 PM) AF101               ,,
LIT 2,LITERATURES OF THE WORLD,7,0,,DISSOLVED,TTh (09:00 AM) - (10:30 AM) AF209               ,,
LIT 2,LITERATURES OF THE WORLD,8,0,,DISSOLVED,TTh (10:30 AM) - (12:00 PM) CB3                 ,,
LIT 2,LITERATURES OF THE WORLD,1,44,,REGULAR,TTh (10:30 AM) - (12:00 PM) AF101               ,,
LIT 2,LITERATURES OF THE WORLD,3,44,,REGULAR,MWF (10:30 AM) - (11:30 AM) AF101               ,,
LIT 2,LITERATURES OF THE WORLD,5,45,,REGULAR,MWF (03:30 PM) - (04:30 PM) AF3B02              ,,
LTROP DES,TROPICAL DESIGN (LANDSCAPE ARCHITECTURE),1,2,,TUTORIAL,MWF (09:30 AM) - (10:30 AM) 1B12E               ,,
MAR 103,LAND ASSESSMENT AND PLANNING FOR SUSTAINABLE DEVELOPMENT,1,10,,REGULAR,Sat (02:30 PM) - (05:30 PM) AF101               ,,
MAR 203,CONSERVATION PRINCIPLES AND POLICIES,1,7,,REGULAR,Sat (02:30 PM) - (05:30 PM) AF208               ,,
MAR 300N,THESIS PREPARATION SEMINAR (PROPOSAL WRITING),1,6,,REGULAR,Sat (06:00 PM) - (09:00 PM) AF208               ,,
MAR 301N,THESIS PRESENTATION,2,7,,REGULAR,Sat (11:30 AM) - (05:30 PM) 1B12a               ,,
MAS 201,ADVANCED STRUCTURES,1,3,,REGULAR,Sat (08:00 AM) - (11:00 AM) AF102               ,,
MAS 203,AUDIO DESIGN AND ACOUSTICS,1,2,,TUTORIAL,Sat (11:30 AM) - (02:30 PM) AF102               ,,
MATH 03,BASIC CALCULUS,1,39,,BLOCKSECTION,MWF (09:30 AM) - (10:30 AM) AFCB4TC             ,,
MATH 03,BASIC CALCULUS,13,36,,BLOCKSECTION,TTh (01:30 PM) - (03:00 PM) AF211TC             ,,
MIA 201,INTERIOR ENVIRONMENTS,1,3,,REGULAR,Sat (08:00 AM) - (11:00 AM) AF101               ,,
MIA 202,INTERIOR LANDSCAPING,1,1,,TUTORIAL,Sat (11:30 AM) - (02:30 PM) AF209               ,,
MLA 201,SITE ENGINEERING,1,1,,TUTORIAL,TTh (04:30 PM) - (06:00 PM) 1B12d               ,,
MLA 202N,PLANTING DESIGN,2,0,,TUTORIAL,TTh (06:00 PM) - (07:30 PM) 1B12d               ,,
MUD 201N,LAND USE AND SPATIAL ANALYSIS (WITH GIS),1,13,,REGULAR,Sat (08:00 AM) - (11:00 AM) AF209               ,,
MUD 203,DESIGN OF PUBLIC SPACES,1,2,,TUTORIAL,Sat (11:30 AM) - (02:30 PM) AF101               ,,
MUP 204,SPATIAL PLANNING AND REGIONAL DEVELOPMENT,1,8,,REGULAR,Sat (06:00 PM) - (09:00 PM) AF209               ,,
MUP 205,RESEARCH METHODS (PREPARATION OF THESIS PROPOSAL AND APPLIED PLANNING RESEARCH PROJECT),1,8,,REGULAR,Sat (11:30 AM) - (02:30 PM) AF208               ,,
